dataset,id,resolution,sampling,method,width,height,rgb_sha256,ciede2000,cpsnr_rgb,fsim_luma,mae_rgb_255,mse_rgb_255,ssim_luma
uhd240,4K/4K_80/0024.png,4K,cosited_point,v6,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.4050979569756132,50.10732265345159,0.9998836517333984,0.5125052244084363,0.6343779738940329,0.9982307006703978
uhd240,4K/4K_80/0024.png,4K,cosited_point,v7,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.38193324570224,50.638306008184216,0.999890148639679,0.4792944637345679,0.5613707240226338,0.9982399828809254
uhd240,4K/4K_80/0025.png,4K,cosited_point,conventional/bicubic,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.40003608197099366,51.4578027342404,0.9985148310661316,0.4478119373713992,0.4648363554526749,0.9990976394696862
uhd240,4K/4K_80/0025.png,4K,cosited_point,conventional/bilinear,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.3977249199565445,51.468752534921485,0.9985141754150391,0.4453757555298354,0.46366584683641976,0.9991005252748101
uhd240,4K/4K_80/0025.png,4K,cosited_point,prism_cartesian_prob,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.4020066171633388,51.42208042515652,0.9985255599021912,0.44988345550411524,0.4686755722736626,0.9990967016926169
uhd240,4K/4K_80/0025.png,4K,cosited_point,prism_polar,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.4072585277317534,51.32270179848612,0.9985199570655823,0.45591431166409463,0.4795238152649177,0.999096293160153
uhd240,4K/4K_80/0025.png,4K,cosited_point,prism_polar_prob,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.41370889089506474,51.19486162265548,0.998532235622406,0.463711741255144,0.49384902263374486,0.9990837166949389
uhd240,4K/4K_80/0025.png,4K,cosited_point,prism_residual,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.4041162127153237,51.37386561883708,0.9985254406929016,0.45266063046553495,0.47390773694701643,0.9990948475164552
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_decode_first/bicubic,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.05016328541574971,60.81207863058866,0.9999978542327881,0.04871387120627572,0.05393522537294239,0.9999119022738262
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_decode_first/bilinear,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.053195434899897115,60.251415814750175,0.999997615814209,0.052520134066358026,0.06136754918981482,0.9999018273450788
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_hybrid/bicubic,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.3046485895556163,51.795727385546115,0.9996986389160156,0.358887321566358,0.4300387811856996,0.9995305572346164
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_hybrid/bilinear,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.28681978728671087,52.10608099669897,0.9996746778488159,0.3367627555941358,0.40037989486882714,0.9995610265368933
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_lifting/bicubic,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.3059830750721307,51.709050816015974,0.9997017979621887,0.3614478041409465,0.43870772247942386,0.9995283956935124
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_lifting/bilinear,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.2881096769029602,52.01804019531476,0.9996798038482666,0.33919439621913583,0.40857928240740743,0.9995589743088009
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_matrix/bicubic,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.1513338250552506,56.05867887023,0.9996774196624756,0.1548998119212963,0.16114338188014404,0.999780865140806
uhd240,4K/4K_80/0025.png,4K,cosited_point,scaled_matrix/bilinear,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.1516887722511461,55.941312253682234,0.9996752142906189,0.1559105340149177,0.16555760513117285,0.9997871215290692
uhd240,4K/4K_80/0025.png,4K,cosited_point,v5,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,1.4485594314322376,42.23844500088294,0.9985848665237427,1.6157317386831276,3.8836122363683128,0.9985016910607823
uhd240,4K/4K_80/0025.png,4K,cosited_point,v5_1,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.6673330895062914,46.4833025318194,0.9985212683677673,0.9731591595936214,1.461336082175926,0.9985498267240366
uhd240,4K/4K_80/0025.png,4K,cosited_point,v6,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.429604897439949,50.91324871179964,0.9985209107398987,0.4807769097222222,0.5269331114969136,0.999088715355802
uhd240,4K/4K_80/0025.png,4K,cosited_point,v7,3840,2160,daa07e8be0ce1691a5b7a1c498e29e32ef4ab5adf97927b9e29df6939fcfbe01,0.4428332307173877,50.89746476640602,0.9985881447792053,0.4916208526234568,0.5288516750257202,0.9990764913683134
uhd240,4K/4K_80/0026.png,4K,cosited_point,conventional/bicubic,3840,2160,bda25610cb6ce722410f0ce8c9fdee9e473302c9240031a2e2b07dc266463aa5,0.4684875413072958,51.2224919519642,0.9998624920845032,0.44427866994598764,0.490717070151749,0.9984162885847174
uhd240,4K/4K_80/0026.png,4K,cosited_point,conventional/bilinear,3840,2160,bda25610cb6ce722410f0ce8c9fdee9e473302c9240031a2e2b07dc266463aa5,0.46640712534624273,51.11287539476763,0.9998606443405151,0.4455488442001029,0.5032604729295268,0.9984242084146194
